Compound,eta_cation,min_eta_anion,max_eta_anion,mean_eta_anion,std-dev_eta_anion,min_diff_eta,max_diff_eta,mean_diff_eta,std-dev_diff_eta,mean_eta_both,geom-mean_eta_both,eta_all,Formation_energy
OCN-NCO-Ba,12.8,4.1,4.8,4.449999999999999,0.3500000000000001,8.0,8.700000000000001,8.350000000000001,0.35000000000000053,7.233333333333334,6.315557418374492,"[12.8, 4.8, 4.1]",-0.9693679443000001
OCN-NCO-Be,67.8,4.1,4.8,4.449999999999999,0.3500000000000001,63.0,63.699999999999996,63.349999999999994,0.34999999999999787,25.566666666666663,11.009094407371123,"[67.8, 4.8, 4.1]",-0.4943247943
OCN-NCO-Ca,19.7,4.1,4.8,4.449999999999999,0.3500000000000001,14.899999999999999,15.6,15.25,0.35000000000000053,9.533333333333333,7.291727665702859,"[19.7, 4.8, 4.1]",-0.9753067114
OCN-NCO-Cd,10.3,4.1,4.8,4.449999999999999,0.3500000000000001,5.500000000000001,6.200000000000001,5.850000000000001,0.3500000000000001,6.400000000000001,5.8742727332739335,"[10.3, 4.8, 4.1]",-0.3345618529
OCN-NCO-Co,8.2,4.1,4.8,4.449999999999999,0.3500000000000001,3.3999999999999995,4.1,3.7499999999999996,0.3500000000000001,5.7,5.444353493166494,"[8.2, 4.8, 4.1]",-0.21181992
OCN-NCO-Cu,8.3,4.1,4.8,4.449999999999999,0.3500000000000001,3.500000000000001,4.200000000000001,3.850000000000001,0.3500000000000001,5.733333333333334,5.466395650520931,"[8.3, 4.8, 4.1]",-0.11880521710000001
OCN-NCO-Fe,7.3,4.1,4.8,4.449999999999999,0.3500000000000001,2.5,3.2,2.85,0.3500000000000001,5.3999999999999995,5.237402904692152,"[7.3, 4.8, 4.1]",-0.2992787214
OCN-NCO-Mg,32.5,4.1,4.8,4.449999999999999,0.3500000000000001,27.7,28.4,28.049999999999997,0.34999999999999964,13.799999999999999,8.615943023722114,"[32.5, 4.8, 4.1]",-0.7960849386
OCN-NCO-Mn,9.3,4.1,4.8,4.449999999999999,0.3500000000000001,4.500000000000001,5.200000000000001,4.850000000000001,0.3500000000000001,6.066666666666667,5.677659552843075,"[9.3, 4.8, 4.1]",-0.5423594457
OCN-NCO-Ni,8.5,4.1,4.8,4.449999999999999,0.3500000000000001,3.7,4.4,4.050000000000001,0.3500000000000001,5.8,5.50995442445474,"[8.5, 4.8, 4.1]",-0.3165112214
OCN-NCO-Pb,8.5,4.1,4.8,4.449999999999999,0.3500000000000001,3.7,4.4,4.050000000000001,0.3500000000000001,5.8,5.50995442445474,"[8.5, 4.8, 4.1]",-0.2914530143
OCN-NCO-Pd,6.8,4.1,4.8,4.449999999999999,0.3500000000000001,2.0,2.7,2.35,0.3500000000000001,5.233333333333333,5.11498858605289,"[6.8, 4.8, 4.1]",-0.040735725699999996
OCN-NCO-Pt,8.0,4.1,4.8,4.449999999999999,0.3500000000000001,3.2,3.9000000000000004,3.5500000000000003,0.3500000000000001,5.633333333333333,5.399725637637979,"[8.0, 4.8, 4.1]",0.1823525557
OCN-NCO-Sr,16.3,4.1,4.8,4.449999999999999,0.3500000000000001,11.5,12.200000000000001,11.850000000000001,0.35000000000000053,8.4,6.845485152495809,"[16.3, 4.8, 4.1]",-0.9767136343
OCN-NCO-Zn,10.8,4.1,4.8,4.449999999999999,0.3500000000000001,6.000000000000001,6.700000000000001,6.350000000000001,0.3500000000000001,6.566666666666667,5.967827799922308,"[10.8, 4.8, 4.1]",-0.3679207771
OCN-NC-Pb,8.5,4.8,5.4,5.1,0.30000000000000027,3.0999999999999996,3.7,3.4,0.30000000000000027,6.233333333333334,6.039736257360679,"[8.5, 4.8, 5.4]",0.23230942329999998
OCN-NC-Pd,6.8,4.8,5.4,5.1,0.30000000000000027,1.3999999999999995,2.0,1.6999999999999997,0.30000000000000027,5.666666666666667,5.606794474026313,"[6.8, 4.8, 5.4]",0.5723384267
OCN-NC-Pt,8.0,4.8,5.4,5.1,0.30000000000000027,2.5999999999999996,3.2,2.9,0.30000000000000027,6.066666666666667,5.9189089783931275,"[8.0, 4.8, 5.4]",0.8205743917
OCN-NCS-Ba,12.8,4.0,4.8,4.4,0.3999999999999999,8.0,8.8,8.4,0.40000000000000036,7.2,6.263788225870182,"[12.8, 4.8, 4.0]",-0.659597151
