Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
Te-NC-Al,0.331154375,1.185564742,0.010903204959649098,35.23157038,35.23160812,10.23414826,L,m,Lm
Te-NC-Bi,0.44547938,0.563770016,0.0009536570696585744,33.00710194,33.00690952,10.7760739,L,m,Lm
Te-NC-Ce,-0.665393927,0.8021579759999999,4.362913800859679e-05,32.01259181,32.01261106,13.74929946,M,m,Mm
Te-NC-Co,0.524289138,0.651330729,0.012291810019707949,62.4869593,62.48687982,21.44483194,L,m,Lm
Te-NC-Cr,0.165106565,0.523988524,0.022214309668680213,34.68836604,34.68817661,12.05561366,M,m,Mm
Te-NC-Fe,0.5046861229999999,0.653849376,0.0040653415094212535,-122.31804529,-122.31750752,14.17193562,L,l,Ll
Te-NC-Ga,0.617996578,0.941265346,0.0008529349038805544,29.89461708,29.89450115,3.99939859,L,m,Lm
Te-NC-Gd,-0.506043948,0.476475071,0.0058476918205235115,40.06971514,40.07010832,16.07796295,M,m,Mm
Te-NC-In,0.42404101,0.655593409,0.0001369497725373589,29.34289931,29.34328046,8.34402802,L,m,Lm
Te-NC-Ir,0.601714195,0.7997416559999999,0.012295571560365752,68.42183165,68.42157651,21.90153462,L,m,Lm
Te-NC-La,-0.6533400079999999,0.489612115,0.0002454975970349123,29.41967842,29.41955786,11.87767962,M,m,Mm
Te-NC-Lu,-0.47992118,0.615379663,0.02499117175607631,38.54174323,38.54145511,13.64280902,M,m,Mm
Te-NC-Nd,-0.572663135,0.480853636,1.4089743406386285e-05,35.05897274,35.05901196,14.39635409,M,m,Mm
Te-NCO-Al,-0.430043886,0.939997296,0.024282922472089748,11.66982552,11.66980695,1.08986399,M,m,Mm
Te-NCO-Bi,-0.319375708,0.18081796,8.223978960884338e-05,42.42997498,42.42985858,15.21489698,H,m,Hm
Te-NCO-Ce,-1.19909588,0.687735388,9.871339124465588e-05,37.4210771,39.14945813,13.63122497,M,m,Mm
Te-NCO-Co,-0.310171284,0.289478853,0.025534988875379836,54.61178809,54.61171235,17.4187327,M,m,Mm
Te-NCO-Cr,-0.5791311579999999,0.394715997,0.032485699329263734,53.06598605,53.06579831,19.8376462,M,m,Mm
Te-NCO-Fe,-0.32314758600000004,0.282975929,0.1245441217265911,-212.89088301,-212.89084241,14.95611441,M,l,Ml
Te-NCO-Ga,-0.250314286,0.539560114,0.002489443407450639,20.564422699999998,20.56434288,6.93701526,M,m,Mm
Te-NCO-Gd,-0.305058694,0.9323848,0.03319935167183331,25.63193037,25.63193037,2.97880439,M,m,Mm
Te-NCO-In,-0.355038404,0.368662999,1.907950693115578e-05,-1.87856543,-1.87856543,-19.67188134,M,l,Ml
Te-NCO-Ir,-0.251715,0.304597159,0.025295410657556104,65.86550929,65.8652525,20.8325651,M,m,Mm
Te-NCO-La,-1.1736817940000002,0.527383773,0.0036595302484082647,36.75434355,36.75437519,12.95474504,M,m,Mm
Te-NCO-Lu,-1.059000184,0.654526395,0.03286832144968293,56.67079153,56.67085033,21.03243083,M,m,Mm
