Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
S-Br-Bi,Non-metal,1.7664,Indirect,"(0.143,0.095,-0.000)-(0.000,0.000,0.000)"
S-Br-Ce,Non-metal,0.09629999999999983,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
S-Br-Co,Non-metal,0.6267999999999998,Indirect,"(0.095,0.048,0.000)-(0.333,0.333,0.000)"
S-Br-Cr,Non-metal,1.1431,Indirect,"(0.095,0.095,0.000)-(0.476,0.000,0.000)"
S-Br-Fe,Non-metal,0.06370000000000009,Indirect,"(0.238,0.190,0.000)-(0.476,0.000,0.000)"
S-Br-Ga,Non-metal,2.2419000000000002,Indirect,"(0.143,-0.000,0.000)-(0.476,0.000,0.000)"
S-Br-Gd,Non-metal,3.7140999999999997,Indirect,"(-0.143,0.286,0.000)-(0.333,-0.000,-0.000)"
S-Br-In,Non-metal,2.6236,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
S-Br-Ir,Non-metal,1.3643999999999998,Indirect,"(0.095,0.095,0.000)-(0.333,0.333,0.000)"
S-Br-La,Non-metal,3.5157000000000003,Indirect,"(0.476,0.048,0.000)-(0.286,-0.000,0.000)"
S-Br-Lu,Non-metal,3.8871,Indirect,"(0.143,0.143,0.000)-(0.429,0.000,0.000)"
S-Br-Nd,Non-metal,3.6153,Indirect,"(0.143,0.143,0.000)-(0.238,0.000,0.000)"
S-Br-Rh,Non-metal,1.144,Indirect,"(0.095,0.048,0.000)-(0.333,0.333,0.000)"
S-Br-Ru,Metal,0.0,NA,NA
S-Br-Sc,Non-metal,2.9453000000000005,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
S-Br-Sm,Non-metal,3.6557000000000004,Indirect,"(0.143,0.143,0.000)-(0.286,0.000,0.000)"
S-Br-Y,Non-metal,3.6750000000000003,Indirect,"(0.143,0.143,0.000)-(0.333,0.000,0.000)"
S-Cl-Al,Non-metal,3.4208,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
S-Cl-Bi,Non-metal,1.8162000000000003,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
S-Cl-Ce,Non-metal,3.7065,Indirect,"(0.429,0.095,0.000)-(0.238,0.000,0.000)"
S-Cl-Co,Non-metal,1.0425999999999997,Indirect,"(0.095,0.048,0.000)-(0.286,0.286,0.000)"
S-Cl-Cr,Non-metal,0.4669000000000001,Indirect,"(0.476,0.000,0.000)-(0.476,0.000,0.000)"
