Compound,Elements,Element_numbers,H_f,E_total,#_atoms
CN-CN-Pt,"['Pt', 'C', 'N']","[1, 2, 2]",0.977883386,-104.0716321,5
CN-CN-Sr,"['Sr', 'C', 'N']","[1, 2, 2]",-0.100964206,-61.52137003,5
CN-CN-Zn,"['Zn', 'C', 'N']","[1, 2, 2]",0.75543406,-48.4462787,5
F-F-Ba,"['Ba', 'F']","[1, 2]",-3.86411582,-58.10003666,3
F-F-Be,"['Be', 'F']","[1, 2]",-3.186598387,-20.88338436,3
F-F-Ca,"['Ca', 'F']","[1, 2]",-4.035629393,-28.69307738,3
F-F-Cd,"['Cd', 'F']","[1, 2]",-2.28580987,-44.22461881,3
F-F-Co,"['Co', 'F']","[1, 2]",-2.17949004,-30.71355932,3
F-F-Cu,"['Cu', 'F']","[1, 2]",-1.627648177,-27.01203373,3
F-F-Fe,"['Fe', 'F']","[1, 2]",-2.16979648,-31.58237864,3
F-F-Mg,"['Mg', 'F']","[1, 2]",-3.694654823,-23.03455367,3
F-F-Mn,"['Mn', 'F']","[1, 2]",-2.624683923,-32.92934097,3
F-F-Ni,"['Ni', 'F']","[1, 2]",-2.208149603,-29.76833801,3
F-F-Pb,"['Pb', 'F']","[1, 2]",-2.26214717,-89.48543071,3
F-F-Pd,"['Pd', 'F']","[1, 2]",-1.292792517,-43.63416675,3
F-F-Pt,"['Pt', 'F']","[1, 2]",-0.557637723,-78.84970237,3
F-F-Sr,"['Sr', 'F']","[1, 2]",-3.996495597,-41.22177599,3
F-F-Zn,"['Zn', 'F']","[1, 2]",-2.428196,-27.7237772,3
I-I-Ba,"['Ba', 'I']","[1, 2]",-1.94415893,-118.7179818,3
I-I-Be,"['Be', 'I']","[1, 2]",-0.346379823,-78.74054447,3
I-I-Ca,"['Ca', 'I']","[1, 2]",-1.812911573,-88.40273972,3
I-I-Cd,"['Cd', 'I']","[1, 2]",-0.649644023,-105.6939371,3
I-I-Co,"['Co', 'I']","[1, 2]",-0.15173305,-91.00810415,3
I-I-Cu,"['Cu', 'I']","[1, 2]",-0.032776833,-88.6052355,3
I-I-Fe,"['Fe', 'I']","[1, 2]",-0.068319707,-91.65576412,3
I-I-Mg,"['Mg', 'I']","[1, 2]",-1.18340106,-81.87860818,3
I-I-Mn,"['Mn', 'I']","[1, 2]",-0.812479603,-93.87054381,3
I-I-Ni,"['Ni', 'I']","[1, 2]",-0.346231797,-90.56040039,3
I-I-Pb,"['Pb', 'I']","[1, 2]",-0.65550436,-151.0433181,3
I-I-Pd,"['Pd', 'I']","[1, 2]",-0.15278374,-106.5919562,3
I-I-Pt,"['Pt', 'I']","[1, 2]",0.06681862,-143.3541491,3
I-I-Sr,"['Sr', 'I']","[1, 2]",-1.902005337,-101.316121,3
I-I-Zn,"['Zn', 'I']","[1, 2]",-0.503178677,-88.32654103,3
NC-NC-Ba,"['Ba', 'C', 'N']","[1, 2, 2]",-0.237819972,-79.48104886,5
NC-NC-Be,"['Be', 'C', 'N']","[1, 2, 2]",0.56288523,-40.29342285,5
NC-NC-Ca,"['Ca', 'C', 'N']","[1, 2, 2]",-0.213145098,-49.43617449,5
NC-NC-Cd,"['Cd', 'C', 'N']","[1, 2, 2]",0.675646876,-65.77321462,5
NC-NC-Co,"['Co', 'C', 'N']","[1, 2, 2]",0.818935042,-51.86467379,5
NC-NC-Cu,"['Cu', 'C', 'N']","[1, 2, 2]",1.06401717,-48.59326315,5
NC-NC-Fe,"['Fe', 'C', 'N']","[1, 2, 2]",0.792837396,-52.89306202,5
NC-NC-Mg,"['Mg', 'C', 'N']","[1, 2, 2]",0.090249556,-43.28360122,5
NC-NC-Mn,"['Mn', 'C', 'N']","[1, 2, 2]",0.488854444,-54.39527678,5
NC-NC-Ni,"['Ni', 'C', 'N']","[1, 2, 2]",0.769766192,-51.07931804,5
NC-NC-Pb,"['Pb', 'C', 'N']","[1, 2, 2]",0.732690686,-110.8197956,5
NC-NC-Pd,"['Pd', 'C', 'N']","[1, 2, 2]",1.217859554,-65.45075123,5
NC-NC-Pt,"['Pt', 'C', 'N']","[1, 2, 2]",1.429890228,-101.8115979,5
NC-NC-Sr,"['Sr', 'C', 'N']","[1, 2, 2]",-0.238937636,-62.21123718,5
NC-NC-Zn,"['Zn', 'C', 'N']","[1, 2, 2]",0.672424268,-48.86132766,5
NCO-NCO-Ba,"['Ba', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.080459394,-98.16675376,7
NCO-NCO-Be,"['Be', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.693205376,-60.27187563,7
NCO-NCO-Ca,"['Ca', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.145771791,-68.70244054,7
NCO-NCO-Cd,"['Cd', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.551412496,-85.32292547,7
NCO-NCO-Co,"['Co', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.489132239,-71.69486367,7
NCO-NCO-Cu,"['Cu', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.294966473,-68.28970331,7
NCO-NCO-Fe,"['Fe', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.508954647,-72.73152053,7
NCO-NCO-Mg,"['Mg', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.98301524,-62.92754468,7
NCO-NCO-Mn,"['Mn', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.730334519,-74.26347963,7
NCO-NCO-Ni,"['Ni', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.537234206,-71.00037744,7
NCO-NCO-Pb,"['Pb', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.467281317,-130.0658072,7
NCO-NCO-Pd,"['Pd', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.258601944,-85.66185161,7
NCO-NCO-Pt,"['Pt', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.07070324,-121.7675607,7
NCO-NCO-Sr,"['Sr', 'C', 'N', 'O']","[1, 2, 2, 2]",-1.124082456,-81.19671519,7
NCO-NCO-Zn,"['Zn', 'C', 'N', 'O']","[1, 2, 2, 2]",-0.582305224,-68.61117457,7
NCS-NCS-Ba,"['Ba', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.465582216,-100.7878151,7
NCS-NCS-Be,"['Be', 'C', 'S', 'N']","[1, 2, 2, 2]",0.152451044,-61.27748232,7
NCS-NCS-Ca,"['Ca', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.487276406,-71.01817447,7
NCS-NCS-Cd,"['Cd', 'C', 'S', 'N']","[1, 2, 2, 2]",0.131940328,-87.46465733,7
NCS-NCS-Co,"['Co', 'C', 'S', 'N']","[1, 2, 2, 2]",0.299793907,-73.09758228,7
NCS-NCS-Cu,"['Cu', 'C', 'S', 'N']","[1, 2, 2, 2]",0.367701521,-70.57622898,7
NCS-NCS-Fe,"['Fe', 'C', 'S', 'N']","[1, 2, 2, 2]",0.234372989,-74.4534287,7
NCS-NCS-Mg,"['Mg', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.256073593,-64.76415478,7
NCS-NCS-Mn,"['Mn', 'C', 'S', 'N']","[1, 2, 2, 2]",0.021968821,-75.92255788,7
NCS-NCS-Ni,"['Ni', 'C', 'S', 'N']","[1, 2, 2, 2]",0.212432738,-72.67791046,7
NCS-NCS-Pb,"['Pb', 'C', 'S', 'N']","[1, 2, 2, 2]",0.160884737,-132.5938465,7
NCS-NCS-Pd,"['Pd', 'C', 'S', 'N']","[1, 2, 2, 2]",0.396605684,-88.00059984,7
NCS-NCS-Pt,"['Pt', 'C', 'S', 'N']","[1, 2, 2, 2]",0.571948549,-124.1941998,7
NCS-NCS-Sr,"['Sr', 'C', 'S', 'N']","[1, 2, 2, 2]",-0.488081053,-83.669907,7
NCS-NCS-Zn,"['Zn', 'C', 'S', 'N']","[1, 2, 2, 2]",0.146936424,-70.43168466,7
NO-NO-Ba,"['Ba', 'N', 'O']","[1, 2, 2]",-0.433359888,-72.58483544,5
NO-NO-Be,"['Be', 'N', 'O']","[1, 2, 2]",-0.09661036,-35.7169878,5
NO-NO-Ca,"['Ca', 'N', 'O']","[1, 2, 2]",-0.446872354,-42.73089777,5
NO-NO-Cd,"['Cd', 'N', 'O']","[1, 2, 2]",0.321854772,-59.66826214,5
NO-NO-Co,"['Co', 'N', 'O']","[1, 2, 2]",-0.080480816,-48.48784008,5
NO-NO-Cu,"['Cu', 'N', 'O']","[1, 2, 2]",0.16781645,-45.20035375,5
NO-NO-Fe,"['Fe', 'N', 'O']","[1, 2, 2]",-0.09524522,-49.4595621,5
NO-NO-Mg,"['Mg', 'N', 'O']","[1, 2, 2]",-0.107160786,-36.39673993,5
NO-NO-Mn,"['Mn', 'N', 'O']","[1, 2, 2]",-0.183261442,-49.88194321,5
