Compound,Elements,Element_numbers,H_f,E_total,#_atoms
CeS2,"['Ce', 'S']","[8, 16]",-1.5425242392499996,-547.81730675,24
CeSe,"['Ce', 'Se']","[1, 1]",-1.3467313900000022,-67.37217997,2
CeSe2,"['Ce', 'Se']","[4, 8]",-1.3979702124999989,-355.75418007,12
CeSF,"['Ce', 'S', 'F']","[2, 2, 2]",-3.271604660666668,-135.06060779,6
CeSI,"['Ce', 'S', 'I']","[8, 8, 8]",-1.584702436083333,-765.26804097,24
CeTe,"['Ce', 'Te']","[1, 1]",-1.5900583049999995,-84.85631661,2
CeTe2,"['Ce', 'Te']","[2, 4]",-1.4958368050000008,-246.45422083,6
CeTe3,"['Ce', 'Te']","[2, 6]",-0.921804361250004,-318.98043489,8
CeTeH,"['Ce', 'Te', 'H']","[1, 1, 1]",-0.9377621766666664,-87.94323653,3
CF4,"['C', 'F']","[2, 8]",-1.8804985220000006,-66.86484402,10
Cl,['Cl'],[8],0.0,-63.77303932,8
ClF,"['Cl', 'F']","[4, 4]",-0.4264110799999994,-48.82299304,8
ClF3,"['Cl', 'F']","[8, 24]",-0.6561785684374994,-167.56983659,32
ClO2,"['Cl', 'O']","[8, 16]",0.0887304491666671,-159.31223322,24
CNCl,"['C', 'N', 'Cl']","[6, 6, 6]",-0.03741153666666719,-164.14374366,18
Co,['Co'],[2],0.0,-34.41307024,2
CO2,"['C', 'O']","[4, 8]",-1.326300629166667,-105.53296755,12
Co2H2CO5,"['Co', 'H', 'C', 'O']","[8, 8, 4, 20]",-1.306225465,-381.0179126,40
Co2N,"['Co', 'N']","[4, 2]",0.17409507333333116,-86.34877656,6
Co2P,"['Co', 'P']","[8, 4]",-0.4575905733333343,-184.77605544,12
Co2P2O7,"['Co', 'P', 'O']","[2, 2, 7]",-2.0879159081818197,-121.28712077,11
Co3H2Se3O10,"['Co', 'H', 'Se', 'O']","[6, 4, 6, 20]",-1.093752563888889,-399.94048544,36
Co3O4,"['Co', 'O']","[6, 8]",-1.565038971428572,-174.3959016,14
Co3P2O8,"['Co', 'P', 'O']","[6, 4, 16]",-1.9989198557692305,-295.33659681,26
Co3S4,"['Co', 'S']","[6, 8]",-0.5020191618571447,-187.21443077,14
Co7P6H4O24,"['Co', 'P', 'H', 'O']","[7, 6, 4, 24]",-1.9322196802439027,-423.67002773,41
Co9S8,"['Co', 'S']","[9, 8]",-0.44634971741176427,-239.3936077,17
Co9Se8,"['Co', 'Se']","[9, 8]",-0.19556077647058934,-318.71037072,17
CoBr2,"['Co', 'Br']","[2, 4]",-0.7050545983333336,-115.24902159,6
CoCl2,"['Co', 'Cl']","[2, 4]",-1.0000308966666676,-71.88771138,6
CoCl3,"['Co', 'Cl']","[2, 6]",-0.6133969812500002,-86.53196485,8
CoF2,"['Co', 'F']","[2, 4]",-2.2369951550000002,-61.77214933,6
CoF3,"['Co', 'F']","[3, 9]",-2.083404730833333,-107.97900817,12
CoH2SO5,"['Co', 'H', 'S', 'O']","[2, 4, 2, 10]",-1.4125095435555564,-154.44790741,18
CoH4Br2O2,"['Co', 'H', 'Br', 'O']","[1, 4, 2, 2]",-0.9920085433333349,-90.56401289,9
CoH4C2O6,"['Co', 'H', 'C', 'O']","[2, 8, 4, 12]",-1.1629119169230768,-206.51924784,26
CoH4Cl2O2,"['Co', 'H', 'Cl', 'O']","[1, 4, 2, 2]",-1.087601604444445,-68.85876644,9
CoH6N2Cl2,"['Co', 'H', 'N', 'Cl']","[2, 12, 4, 4]",-0.6320951190909095,-158.37331262,22
CoH6Se2O8,"['Co', 'H', 'Se', 'O']","[2, 12, 4, 16]",-1.0470173785294121,-290.21297163,34
CoHO2,"['Co', 'H', 'O']","[2, 2, 4]",-1.3637985312500014,-76.85406625,8
