"Compound","C11","C22","C12","C66"
"F-F-Zn",60.00759965,60.00756913,23.20762191,18.39998123
"I-I-Ba",11.08948355,11.08948355,2.42648124,4.33151019
"I-I-Be",41.79091516,41.79087634,22.57341436,9.60874069
"I-I-Ca",18.16875268,18.16873255,4.03364928,7.06754163
"I-I-Cd",23.43901727,23.43899763,8.83688007,7.30105877
"I-I-Co",55.48661872,55.48658078,15.59228842,19.94715566
"I-I-Cu",14.7827534,14.782736,37.66577344,-11.44151871
"I-I-Fe",63.94825149,63.94817755,13.01193447,25.46814002
"I-I-Mg",28.47034366,28.47032368,8.01302366,10.22866
"I-I-Mn",47.87681101,47.87675502,18.8724066,14.50219287
"I-I-Ni",32.31419369,32.31414772,19.7440426,6.28506788
"I-I-Pb",15.08554499,15.08554499,4.54440787,5.27055912
"I-I-Pd",-347.70814369,-347.70785773,382.42052033,-365.06426529
"I-I-Pt",22.464485,22.464485,22.33692006,0.06378247
"I-I-Sr",14.14493442,14.14491478,3.05347442,5.54572018
"I-I-Zn",28.34640324,28.34636396,16.84539191,5.75048602
"NC-NC-Ba",16.41363787,16.41360777,-3.60944014,10.011539
"NC-NC-Be",56.39480599,56.39479016,46.1873401,5.10372502
"NC-NC-Ca",29.71944903,29.71943183,3.47361428,13.12291737
"NC-NC-Cd",37.96197869,37.96194429,16.65259767,10.65468191
"NC-NC-Co",41.70739725,41.70738085,29.63325559,6.03707082
"NC-NC-Cu",36.94565859,36.94562506,35.78334278,0.5811579
"NC-NC-Fe",38.47078374,38.47075116,6.32569529,16.07252793
"NC-NC-Mg",50.82976246,50.82974565,16.206405,17.31167032
"NC-NC-Mn",42.19162948,42.1915963,4.89634139,18.64762745
"NC-NC-Ni",-4.50765682,-4.50765682,81.06529988,-42.78647006
"NC-NC-Pb",26.48373335,26.48373335,8.79753636,8.84308928
"NC-NC-Pd",30.77066973,30.77065226,31.00427764,-0.11681268
"NC-NC-Pt",29.85683554,29.85681813,41.13306519,-5.63810611
