Compound,Hessian_eig_min_abs,C11,C22,C66,Dyn_stability_level
OCN-OCN-Pt,3.3452952079873745e-05,29.62225379,29.62221847,-7.33319172,l
OCN-OCN-Sr,6.597380902497513e-05,35.89627907,35.89624365,11.67613121,m
OCN-OCN-Zn,0.0008798829547500359,69.25386769,69.25381393,20.9644495,m
SCN-SCN-Ba,3.7981172221467918e-06,13.64737862,13.64737862,0.39650154,h
SCN-SCN-Be,0.008219928737902565,31.70794626,31.70792602,-10.77554326,l
SCN-SCN-Ca,5.343135697568292e-06,18.62149042,18.62146986,1.28539817,h
SCN-SCN-Cd,1.26031591950131e-05,30.62644158,30.62639884,6.19893642,m
SCN-SCN-Co,0.002911943807129017,59.19339545,59.19333541,8.36770966,m
SCN-SCN-Cu,0.0045265968599231075,15.79133588,15.79133588,-8.37091053,l
SCN-SCN-Fe,0.0027511435588596076,101.28075287,101.28069356,35.89569425,m
SCN-SCN-Mg,0.0018335621091480586,37.16040648,37.16036435,8.88006879,m
SCN-SCN-Mn,0.004880742760100932,26.53475032,26.53473002,-32.61295996,l
SCN-SCN-Ni,0.16580583946999014,42.15617118,42.15613064,5.22051032,m
SCN-SCN-Pb,0.0001102156596178569,12.33042439,12.33042439,0.98474143,m
SCN-SCN-Pd,9.959568306851206e-05,7.64151619,7.64149559,-16.190568300000002,l
SCN-SCN-Pt,1.4498965550039554e-05,24.5186911,24.51867074,-8.58683023,l
SCN-SCN-Sr,0.0001457254558590555,16.27099961,16.270977900000002,1.29467487,m
SCN-SCN-Zn,0.0011565942176310006,38.89087888,38.89083744,9.91592551,m
SH-SH-Ba,7.609165400164255e-06,13.33985188,13.33982153,4.14775339,h
SH-SH-Be,0.0004234395071971882,51.52423709,51.52414846,10.33907696,m
SH-SH-Ca,1.402275221843081e-07,21.66024355,21.66020932,3.89860316,h
SH-SH-Cd,2.1760795199916987e-05,22.399334399999997,22.39929706,-0.89319103,l
SH-SH-Co,1.803448503402773e-05,42.13139893,42.13133896,2.9652681,m
SH-SH-Cu,0.003839123791861939,22.90399846,22.90396135,-10.21314617,l
SH-SH-Fe,7.082559235412197e-05,93.26325241,93.2631185,33.59448045,m
SH-SH-Mg,0.0010248829595494774,33.344080600000005,33.34402571,7.14105885,m
SH-SH-Mn,0.00020346785542271198,17.684229199999997,17.68419818,-20.65741929,l
SH-SH-Ni,0.004145636553478164,23.29041647,23.29037999,-9.5894002,l
SH-SH-Pb,2.516733795881398e-06,17.45448405,17.45444604,3.75906184,h
SH-SH-Pd,3.068991414393037e-05,14.86526146,14.86524554,-14.470251199999998,l
SH-SH-Pt,5.745857801723003e-07,-166.74712383,-166.74692873,-203.38565251,l
SH-SH-Sr,5.5963414345572675e-06,18.45072474,18.45068882,3.77639711,h
SH-SH-Zn,0.0006663548025312959,30.87107382,30.87101787,1.42015581,m
NH-NH-Ce,0.0010605254160608508,100.11371724,100.11366385,32.51649775,m
NH-NH-Ge,4.583668348852247e-07,154.31335857,154.31337589,55.06241236,h
NH-NH-Hf,4.2870921481928015e-06,149.03753465,149.03755254,56.02231662,h
NH-NH-Ir,6.851675186482223e-06,84.85335384,84.85337089,-9.3860492,l
NH-NH-Mo,1.0612088063190792e-05,149.32320086,149.32325769,53.93816416,m
NH-NH-Os,7.790766450957692e-06,37.05794413,37.05794413,-16.50121918,l
NH-NH-Pd,1.7157979336340063e-05,119.57266856,119.57266856,43.84130502,m
NH-NH-Pt,1.99612121653399e-06,145.08050266,145.08046872,52.32590809,h
NH-NH-Re,1.9527845894826005e-05,143.20597719999998,143.20601522,54.29731008,m
NH-NH-Ru,1.2844317887140221e-05,-64.32527183,-64.32527183,-94.02789957,l
NH-NH-Sn,5.2519747834953695e-05,119.98856620000001,119.98854838,41.32129861,m
NH-NH-Tc,8.724925349506972e-06,139.31373661,139.31367949,54.33742159,h
NH-NH-Te,8.281969491382686e-05,74.08508837,74.08508837,19.91480678,m
NH-NH-Ti,1.997548749149253e-05,149.25036234,149.25029114,56.07260417,m
NH-NH-W,5.7241238114358425e-06,133.93730697,133.93736402,34.04064353,h
