2D,Compounds,E_above_hull
NH-OH-Bi,NO2,0.0
NH-OH-Bi,O,0.0
NH-OH-Bi,OH-O-Bi,0.2282599073958309
NH-OH-Bi,NH-OH-Bi,0.3596583718888908
NH-OH-Bi,NH-NO-Bi,0.8872701898888913
NH-OH-Bi,O-NO-Bi,0.6651576182812562
NH-OH-Ce,Ce,0.0
NH-OH-Ce,Ce2H5,0.3393037514285666
NH-OH-Ce,Ce2O3,0.10553532150000322
NH-OH-Ce,CeH2,0.0
NH-OH-Ce,CeH3,0.021423659999999956
NH-OH-Ce,CeH3O3,0.15726530345238388
NH-OH-Ce,CeN,0.0
NH-OH-Ce,H,0.0
NH-OH-Ce,H2O,0.0
NH-OH-Ce,H3N,0.12192028812499967
NH-OH-Ce,H3NO4,0.0
NH-OH-Ce,HNO3,0.0
NH-OH-Ce,N,0.0
NH-OH-Ce,NO2,0.0
NH-OH-Ce,O,0.0
NH-OH-Ce,OH-O-Ce,0.19067404250000308
NH-OH-Ce,O-O-Ce,0.0
NH-OH-Ce,NH-OH-Ce,0.5478782170000009
NH-OH-Ce,NH-NH-Ce,0.053732475999996865
NH-OH-Ce,NH-NO-Ce,0.781040603000001
NH-OH-Ce,O-NO-Ce,0.9431010499999992
NH-OH-Ce,NH-O-Ce,0.03228966624999785
NH-OH-Co,Co,0.0
NH-OH-Co,Co2N,0.17768365333333414
NH-OH-Co,Co3O4,0.0
NH-OH-Co,CoHO2,0.0
NH-OH-Co,CoO,0.19216616499999972
NH-OH-Co,H,0.0
NH-OH-Co,H2O,0.0
NH-OH-Co,H3N,0.12192028812499967
NH-OH-Co,H3NO4,0.0
NH-OH-Co,HNO3,0.0
NH-OH-Co,N,0.0
NH-OH-Co,NO2,0.0
NH-OH-Co,O,0.0
NH-OH-Co,OH-OH-Co,0.250448548555557
NH-OH-Co,OH-O-Co,0.2222204462500006
NH-OH-Co,NH-OH-Co,0.14661945400000143
NH-OH-Co,NO-NO-Co,0.6785319743333371
NH-OH-Co,NH-NO-Co,0.6484848680000006
NH-OH-Co,O-NO-Co,0.5627815454166694
NH-OH-Co,OH-NO-Co,0.612486024999999
NH-OH-Cr,Cr,0.0
NH-OH-Cr,Cr2N,0.006501769444446026
NH-OH-Cr,Cr2O3,0.0
NH-OH-Cr,CrHO2,0.0
NH-OH-Cr,CrN,0.0
NH-OH-Cr,CrO2,0.0
NH-OH-Cr,H,0.0
NH-OH-Cr,H2O,0.0
NH-OH-Cr,H3N,0.12192028812499967
NH-OH-Cr,H3NO4,0.0
NH-OH-Cr,HNO3,0.0
NH-OH-Cr,N,0.0
NH-OH-Cr,NO2,0.0
NH-OH-Cr,O,0.0
NH-OH-Cr,OH-O-Cr,0.23614270250000047
NH-OH-Cr,NH-OH-Cr,0.2851571919999998
NH-OH-Cr,NH-NO-Cr,0.8355647200000007
NH-OH-Cr,O-NO-Cr,0.7590325725000007
NH-OH-Fe,Fe,0.0
NH-OH-Fe,Fe2O3,0.0
NH-OH-Fe,Fe3N,0.0
NH-OH-Fe,Fe3O4,0.08508070934523815
NH-OH-Fe,FeH,0.32581490499999965
NH-OH-Fe,FeH2O2,0.09797879516666619
NH-OH-Fe,FeHO2,0.04878228770833459
NH-OH-Fe,FeN,0.0
NH-OH-Fe,FeO,0.0645874395833328
NH-OH-Fe,H,0.0
NH-OH-Fe,H2O,0.0
NH-OH-Fe,H3N,0.12192028812499967
NH-OH-Fe,H3NO4,0.0
NH-OH-Fe,HNO3,0.0
NH-OH-Fe,N,0.0
NH-OH-Fe,NO2,0.0
NH-OH-Fe,O,0.0
NH-OH-Fe,OH-OH-Fe,0.23266545916666637
NH-OH-Fe,OH-O-Fe,0.213718378958335
NH-OH-Fe,NH-OH-Fe,0.2421212728333355
NH-OH-Fe,NO-NO-Fe,0.7444380449999954
NH-OH-Fe,NH-NO-Fe,0.6130289128333342
NH-OH-Fe,O-NO-Fe,0.487722618749995
NH-OH-Fe,OH-NO-Fe,0.5715656671666647
NH-OH-Ga,Ga,0.0
NH-OH-Ga,Ga2O3,0.0
NH-OH-Ga,GaHO2,0.0
NH-OH-Ga,GaN,0.0
NH-OH-Ga,GaN5O14,0.0
NH-OH-Ga,H,0.0
NH-OH-Ga,H2O,0.0
NH-OH-Ga,H3N,0.12192028812499967
NH-OH-Ga,H3NO4,0.0
NH-OH-Ga,HNO3,0.0
NH-OH-Ga,N,0.0
NH-OH-Ga,NO2,0.0
NH-OH-Ga,O,0.0
NH-OH-Ga,OH-O-Ga,0.20042824062499953
NH-OH-Ga,NH-OH-Ga,0.22700525100000135
NH-OH-Ga,NH-NO-Ga,0.7914230589999995
NH-OH-Ga,O-NO-Ga,0.6753655590624952
NH-OH-Gd,Gd,0.0
NH-OH-Gd,Gd2O3,1.1767209525000055
NH-OH-Gd,GdH2,0.0
NH-OH-Gd,GdH3,3.2349763449999998
NH-OH-Gd,GdH3O3,1.6379340834523735
NH-OH-Gd,GdN,0.0
NH-OH-Gd,H,0.0
NH-OH-Gd,H2O,0.0
NH-OH-Gd,H3N,0.12192028812499878
NH-OH-Gd,H3NO4,0.0
NH-OH-Gd,HNO3,0.0
NH-OH-Gd,N,0.0
NH-OH-Gd,NO2,0.0
NH-OH-Gd,O,0.0
NH-OH-Gd,OH-O-Gd,0.0
NH-OH-Gd,NH-OH-Gd,0.1384433240000007
NH-OH-Gd,NH-NO-Gd,0.7481873119999989
NH-OH-Gd,O-NO-Gd,0.0
NH-OH-In,H,0.0
NH-OH-In,H2O,0.0
NH-OH-In,H3N,0.12192028812499967
NH-OH-In,H3NO4,0.0
NH-OH-In,HNO3,0.0
NH-OH-In,In,0.0
NH-OH-In,In2O3,0.0
NH-OH-In,InH10N3O14,0.0
NH-OH-In,InHO2,0.0
NH-OH-In,InN,0.0
NH-OH-In,N,0.0
NH-OH-In,NO2,0.0
NH-OH-In,O,0.0
NH-OH-In,OH-O-In,0.2051419287500007
NH-OH-In,NH-OH-In,0.1951471779166667
NH-OH-In,NH-NO-In,0.8012888259166662
NH-OH-In,O-NO-In,0.7384794607812442
NH-OH-Ir,H,0.0
NH-OH-Ir,H2O,0.0
NH-OH-Ir,H3N,0.12192028812499967
NH-OH-Ir,H3NO4,0.0
NH-OH-Ir,HNO3,0.0
NH-OH-Ir,Ir,0.0
NH-OH-Ir,IrO2,0.0
NH-OH-Ir,N,0.0
NH-OH-Ir,NO2,0.0
NH-OH-Ir,O,0.0
NH-OH-Ir,OH-O-Ir,0.39504316770833015
NH-OH-Ir,O-O-Ir,0.34329769500000396
NH-OH-Ir,NH-OH-Ir,0.3522617498333389
NH-OH-Ir,NH-NH-Ir,0.43283879599999864
NH-OH-Ir,NH-NO-Ir,0.7124759366666709
NH-OH-Ir,O-NO-Ir,0.7827249112499999
NH-OH-Ir,NH-O-Ir,0.43798614333333674
NH-OH-La,H,0.0
NH-OH-La,H2O,0.0
NH-OH-La,H3N,0.12192028812499967
NH-OH-La,H3NO4,0.0
NH-OH-La,HNO3,0.0
NH-OH-La,La,0.0
NH-OH-La,La2H5,0.004837613571424981
NH-OH-La,La2O3,0.0
NH-OH-La,La4H9,0.00019582076922830538
NH-OH-La,LaH2,0.0
NH-OH-La,LaH3,0.02991134000000173
NH-OH-La,LaH3O3,0.0
NH-OH-La,LaHO,0.0
NH-OH-La,LaN,0.0
NH-OH-La,LaN3O6,0.0
NH-OH-La,N,0.0
NH-OH-La,NO2,0.0
NH-OH-La,O,0.0
NH-OH-La,OH-O-La,0.17972537760415364
NH-OH-La,NH-OH-La,0.26575557075000233
NH-OH-La,NH-NO-La,0.8649974507499998
NH-OH-La,O-NO-La,0.6892716309722289
NH-OH-Lu,H,0.0
NH-OH-Lu,H2O,0.0
NH-OH-Lu,H3N,0.12192028812499967
NH-OH-Lu,H3NO4,0.0
NH-OH-Lu,HNO3,0.0
NH-OH-Lu,Lu,0.0
NH-OH-Lu,Lu2O3,0.0
NH-OH-Lu,LuH2,0.0
NH-OH-Lu,LuN,0.0
NH-OH-Lu,N,0.0
NH-OH-Lu,NO2,0.0
NH-OH-Lu,O,0.0
NH-OH-Lu,OH-O-Lu,0.16407671755208142
NH-OH-Lu,NH-OH-Lu,0.30586481141666866
NH-OH-Lu,NH-NO-Lu,0.9574457094166675
NH-OH-Lu,O-NO-Lu,0.7817970373437433
NH-OH-Nd,H,0.0
NH-OH-Nd,H2O,0.0
NH-OH-Nd,H3N,0.12192028812499967
NH-OH-Nd,H3NO4,0.0
NH-OH-Nd,HNO3,0.0
NH-OH-Nd,N,0.0
NH-OH-Nd,Nd,0.0
NH-OH-Nd,Nd2O3,0.0
NH-OH-Nd,NdH2,0.0
NH-OH-Nd,NdH3,0.04432709624999909
NH-OH-Nd,NdH3O3,0.0
NH-OH-Nd,NdHO,0.0
NH-OH-Nd,NdN,0.0
NH-OH-Nd,NdO2,0.0
NH-OH-Nd,NO2,0.0
NH-OH-Nd,O,0.0
NH-OH-Nd,OH-O-Nd,0.20048087437498552
NH-OH-Nd,NH-OH-Nd,0.28178771450000006
NH-OH-Nd,NH-NO-Nd,0.8999822324999993
NH-OH-Nd,O-NO-Nd,0.7536567787500026
NH-OH-Rh,H,0.0
NH-OH-Rh,H2O,0.0
NH-OH-Rh,H3N,0.12192028812499967
NH-OH-Rh,H3NO4,0.0
NH-OH-Rh,HNO3,0.0
NH-OH-Rh,HRhO2,0.0
NH-OH-Rh,N,0.0
NH-OH-Rh,NO2,0.0
NH-OH-Rh,O,0.0
NH-OH-Rh,Rh,0.0
NH-OH-Rh,RhO2,0.0
NH-OH-Rh,OH-O-Rh,0.2887260287500002
NH-OH-Rh,NH-OH-Rh,0.15630976283333453
NH-OH-Rh,NH-NO-Rh,0.641849394277779
NH-OH-Rh,O-NO-Rh,0.6097497237499994
NH-OH-Ru,H,0.0
NH-OH-Ru,H2O,0.0
NH-OH-Ru,H3N,0.12192028812499967
NH-OH-Ru,H3NO4,0.0
NH-OH-Ru,HNO3,0.0
NH-OH-Ru,N,0.0
NH-OH-Ru,NO2,0.0
NH-OH-Ru,O,0.0
NH-OH-Ru,Ru,0.0
NH-OH-Ru,RuO2,0.0
NH-OH-Ru,RuO4,0.0
NH-OH-Ru,OH-O-Ru,0.31371525770833486
NH-OH-Ru,O-O-Ru,0.3252773799999993
NH-OH-Ru,NH-OH-Ru,0.290041658833335
NH-OH-Ru,NH-NH-Ru,0.30930667099999987
NH-OH-Ru,NH-NO-Ru,0.5989505626666691
NH-OH-Ru,O-NO-Ru,0.7310823200000023
NH-OH-Ru,NH-O-Ru,0.39864709083333416
NH-OH-Sc,H,0.0
NH-OH-Sc,H2O,0.0
NH-OH-Sc,H3N,0.12192028812499967
NH-OH-Sc,H3NO4,0.0
NH-OH-Sc,HNO3,0.0
NH-OH-Sc,N,0.0
NH-OH-Sc,NO2,0.0
NH-OH-Sc,O,0.0
NH-OH-Sc,Sc,0.0
NH-OH-Sc,Sc2O3,0.0
NH-OH-Sc,ScH2,0.0
NH-OH-Sc,ScN,0.0
NH-OH-Sc,OH-O-Sc,0.15033483208333465
NH-OH-Sc,NH-OH-Sc,0.3032619991666685
NH-OH-Sc,NH-NO-Sc,0.9672944851666667
NH-OH-Sc,O-NO-Sc,0.8904028593749942
NH-OH-Sm,H,0.0
NH-OH-Sm,H2O,0.0
NH-OH-Sm,H3N,0.12192028812499967
NH-OH-Sm,H3NO4,0.0
NH-OH-Sm,HNO3,0.0
