Compound,E_above_hull
O-NCO-Sm,0.19306291699999178
O-NCO-Y,0.2039334386249969
O-NC-Rh,0.794278663750001
O-NC-Ru,0.8558516912500007
O-NCS-Al,0.4113062820572928
O-NCS-Bi,0.3672134397499782
O-NC-Sc,0.5000924620833302
O-NCS-Ce,0.544741520499997
O-NCS-Co,0.6132176051666676
O-NCS-Cr,0.5000126557786455
O-NCS-Fe,0.5576911967692251
O-NCS-Ga,0.417733748945313
O-NCS-Gd,0.7331241619999957
O-NCS-In,0.3481609925937441
O-NCS-Ir,0.8034240159999939
O-NCS-La,0.30801728550001073
O-NCS-Lu,0.22672776802864902
O-NC-Sm,0.5945960753124986
O-NCS-Nd,0.2569551759318074
O-NCS-Rh,0.637582804083328
O-NCS-Ru,0.6712428127500001
O-NCS-Sc,0.24704295144531052
O-NCS-Sm,0.23227693214062128
O-NCS-Y,0.22383817914061943
O-NC-Y,0.5808866065624976
O-NO-Al,0.8085677109374956
